task,version,threads,chunk,trial,time_ms,validation_max_relative_error
3,V1,1,384,1,73.249960,2.7424166840994635e-15
3,V1,1,384,2,76.776514,2.7424166840994635e-15
3,V1,1,384,3,71.601800,2.7424166840994635e-15
3,V1,1,384,4,79.730481,2.7424166840994635e-15
3,V1,1,384,5,96.194831,2.7424166840994635e-15
3,V1-ikj,1,384,1,19.779624,2.5154600553433817e-15
3,V1-ikj,1,384,2,24.664287,2.5154600553433817e-15
3,V1-ikj,1,384,3,29.403830,2.5154600553433817e-15
3,V1-ikj,1,384,4,23.906020,2.5154600553433817e-15
3,V1-ikj,1,384,5,29.504117,2.5154600553433817e-15
3,V2,1,384,1,21.161991,2.5154600553433817e-15
3,V2,1,384,2,26.225598,2.5154600553433817e-15
3,V2,1,384,3,25.103957,2.5154600553433817e-15
3,V2,1,384,4,25.095817,2.5154600553433817e-15
3,V2,1,384,5,25.415002,2.5154600553433817e-15
3,V3,1,384,1,22.491758,2.5154600553433817e-15
3,V3,1,384,2,24.232076,2.5154600553433817e-15
3,V3,1,384,3,25.293578,2.5154600553433817e-15
3,V3,1,384,4,21.633221,2.5154600553433817e-15
3,V3,1,384,5,29.663032,2.5154600553433817e-15
3,BLAS,1,384,1,3.998308,0
3,BLAS,1,384,2,6.047772,0
3,BLAS,1,384,3,4.705172,0
3,BLAS,1,384,4,8.241404,0
3,BLAS,1,384,5,4.475982,0
3,V2,2,192,1,15.119037,2.5154600553433817e-15
3,V2,2,192,2,13.513599,2.5154600553433817e-15
3,V2,2,192,3,11.958745,2.5154600553433817e-15
3,V2,2,192,4,13.690107,2.5154600553433817e-15
3,V2,2,192,5,12.981600,2.5154600553433817e-15
3,V3,2,192,1,11.160804,2.5154600553433817e-15
3,V3,2,192,2,15.363287,2.5154600553433817e-15
3,V3,2,192,3,12.349604,2.5154600553433817e-15
3,V3,2,192,4,14.545309,2.5154600553433817e-15
3,V3,2,192,5,15.389652,2.5154600553433817e-15
3,V2,4,96,1,7.716053,2.5154600553433817e-15
3,V2,4,96,2,7.970295,2.5154600553433817e-15
3,V2,4,96,3,8.500778,2.5154600553433817e-15
3,V2,4,96,4,9.460815,2.5154600553433817e-15
3,V2,4,96,5,9.686276,2.5154600553433817e-15
3,V3,4,96,1,8.400215,2.5154600553433817e-15
3,V3,4,96,2,11.138241,2.5154600553433817e-15
3,V3,4,96,3,11.910433,2.5154600553433817e-15
3,V3,4,96,4,10.618640,2.5154600553433817e-15
3,V3,4,96,5,9.345923,2.5154600553433817e-15
3,V2,8,48,1,5.605426,2.5154600553433817e-15
3,V2,8,48,2,11.118278,2.5154600553433817e-15
3,V2,8,48,3,6.125439,2.5154600553433817e-15
3,V2,8,48,4,10.195097,2.5154600553433817e-15
3,V2,8,48,5,11.656899,2.5154600553433817e-15
3,V3,8,48,1,35.917666,2.5154600553433817e-15
3,V3,8,48,2,11.776258,2.5154600553433817e-15
3,V3,8,48,3,9.186817,2.5154600553433817e-15
3,V3,8,48,4,10.672816,2.5154600553433817e-15
3,V3,8,48,5,9.780603,2.5154600553433817e-15
